                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.0857,                0.62223,                 1.4858,                0.98352,                0.98288,                0.98903,                0.73663,                0.93053,                0.44503,                 1.4103,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.071,                0.60997,                 1.4845,                0.98957,                0.97464,                0.99057,                 0.7397,                0.94619,                0.45124,                  1.408,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0726,                 0.6143,                 1.4874,                0.99298,                0.96837,                0.99009,                0.74469,                0.91125,                0.43665,                 1.3829,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.077,                0.60636,                 1.4795,                0.97845,                0.98288,                0.99079,                0.74795,                0.92446,                0.43246,                 1.4032,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0579,                0.59866,                 1.4773,                0.98549,                0.97603,                 0.9906,                0.74129,                0.91671,                 0.4395,                 1.3932,               0.000515,               0.000515,               0.000515
                     77,                 1.0781,                0.59981,                 1.4814,                0.98533,                0.97603,                0.99131,                0.73781,                 0.9292,                0.43754,                 1.3992,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0439,                0.59706,                 1.4617,                0.98495,                0.97603,                0.99139,                0.74444,                0.91092,                0.42225,                 1.3973,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0617,                0.59103,                 1.4693,                0.98623,                 0.9814,                0.99166,                0.74905,                 0.8942,                0.41702,                 1.3649,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0553,                0.59047,                 1.4657,                0.98129,                0.96918,                0.99073,                0.74797,                0.92556,                0.42291,                 1.3864,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0385,                0.58779,                 1.4533,                0.99067,                0.96918,                0.99181,                0.75461,                0.91468,                0.43089,                 1.3793,               0.000416,               0.000416,               0.000416
                     82,                 1.0246,                0.57963,                 1.4383,                0.97832,                0.98288,                0.99182,                0.74954,                0.92072,                0.41245,                 1.3891,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0345,                0.58363,                 1.4489,                0.98862,                0.97945,                0.99166,                0.75635,                0.90545,                0.42615,                 1.3783,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0302,                0.57909,                 1.4513,                0.99359,                 0.9726,                0.99174,                0.76154,                0.90376,                0.41965,                 1.3645,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0246,                0.57875,                  1.437,                 0.9948,                0.97603,                0.99196,                 0.7525,                0.89413,                0.41303,                 1.3678,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0402,                0.58573,                  1.455,                0.98623,                 0.9814,                0.99152,                0.75613,                0.89819,                0.41632,                 1.3685,               0.000317,               0.000317,               0.000317
                     87,                 1.0198,                0.57739,                 1.4395,                0.99648,                0.96851,                0.99136,                0.75532,                0.90774,                0.42067,                 1.3831,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0254,                0.58073,                 1.4411,                0.98762,                0.97945,                0.99186,                 0.7516,                0.91311,                0.40993,                 1.3768,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.012,                0.56935,                 1.4299,                0.98314,                0.97603,                0.99136,                0.76024,                0.90844,                0.41035,                 1.3649,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0185,                0.57757,                 1.4291,                0.98954,                0.97153,                0.99135,                0.76031,                0.89234,                0.40879,                 1.3571,              0.0002378,              0.0002378,              0.0002378
                     91,                0.90731,                0.45302,                 1.3674,                0.98618,                0.97741,                0.99171,                0.76467,                0.90593,                0.40103,                 1.3551,               0.000218,               0.000218,               0.000218
                     92,                 0.8861,                0.43468,                 1.3495,                0.99305,                0.97909,                0.99155,                0.76736,                0.89437,                0.39588,                 1.3457,              0.0001982,              0.0001982,              0.0001982
                     93,                0.88242,                0.43149,                 1.3555,                 0.9965,                0.97464,                0.99177,                0.77113,                0.89708,                0.39651,                 1.3526,              0.0001784,              0.0001784,              0.0001784
                     94,                0.87731,                0.42351,                 1.3498,                0.99651,                0.97827,                0.99192,                  0.776,                0.89928,                0.39442,                 1.3571,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.8781,                0.42884,                 1.3471,                0.99433,                0.97945,                0.99205,                0.77107,                0.89345,                 0.3949,                 1.3507,              0.0001388,              0.0001388,              0.0001388
                     96,                0.87062,                0.42412,                 1.3379,                0.99477,                0.97945,                0.99217,                0.77298,                0.88858,                0.39169,                 1.3498,               0.000119,               0.000119,               0.000119
                     97,                0.86064,                0.42122,                 1.3332,                0.99437,                0.97945,                  0.992,                0.77492,                0.89347,                0.38754,                 1.3472,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.85352,                0.41599,                 1.3191,                0.99285,                0.97945,                0.99185,                0.77408,                0.88637,                0.38654,                 1.3454,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.8581,                0.41917,                 1.3271,                0.99596,                0.97945,                0.99195,                0.77334,                0.89179,                0.39226,                 1.3467,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.84625,                0.41313,                 1.3189,                 0.9935,                0.97603,                0.99215,                0.77313,                0.88666,                0.38642,                 1.3458,               3.98e-05,               3.98e-05,               3.98e-05
