epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,5468.79,0.71401,0.37204,0.97761,0.99551,0.99315,0.99311,0.84121,0.71061,0.28278,0.98882,0.003169,0.003169,0.003169
140,5516.19,0.70618,0.37088,0.97817,0.98963,0.99658,0.99318,0.84138,0.70264,0.28493,0.9826,0.0031195,0.0031195,0.0031195
141,5563.3,0.71045,0.37297,0.97937,0.99212,1,0.99497,0.84162,0.69397,0.27773,0.97899,0.00307,0.00307,0.00307
142,5610.23,0.71132,0.37736,0.97596,0.99479,0.99315,0.99342,0.84486,0.69861,0.27907,0.98232,0.0030205,0.0030205,0.0030205
143,5657.92,0.71145,0.37371,0.97943,0.99306,0.99315,0.99325,0.84195,0.6994,0.27581,0.98378,0.002971,0.002971,0.002971
144,5705.48,0.70405,0.37465,0.97147,0.99301,1,0.99497,0.84182,0.70562,0.27742,0.98649,0.0029215,0.0029215,0.0029215
145,5752.69,0.70183,0.37425,0.97683,0.99871,0.99658,0.995,0.843,0.70255,0.27678,0.9862,0.002872,0.002872,0.002872
146,5800.18,0.69928,0.36623,0.97087,1,0.99278,0.995,0.84102,0.69973,0.27972,0.98517,0.0028225,0.0028225,0.0028225
147,5847.93,0.69273,0.36516,0.96518,0.9997,0.99315,0.995,0.84441,0.69097,0.27738,0.98152,0.002773,0.002773,0.002773
148,5895.41,0.69641,0.36293,0.97225,0.99969,0.99315,0.995,0.8457,0.69106,0.27872,0.98086,0.0027235,0.0027235,0.0027235
149,5943.57,0.69697,0.36756,0.97785,0.99655,0.99315,0.99493,0.84848,0.68778,0.27679,0.97995,0.002674,0.002674,0.002674
150,5992.36,0.70299,0.37882,0.97686,0.99288,0.98973,0.99256,0.84777,0.69024,0.27694,0.98154,0.0026245,0.0026245,0.0026245
151,6041.38,0.69741,0.36366,0.97218,0.99655,0.98888,0.99262,0.84306,0.68824,0.2763,0.97947,0.002575,0.002575,0.002575
152,6089.3,0.69602,0.3679,0.96992,0.99286,0.98973,0.99265,0.84653,0.67828,0.27318,0.97471,0.0025255,0.0025255,0.0025255
153,6137.31,0.69638,0.36699,0.96713,0.98979,0.99591,0.99262,0.84436,0.68096,0.27297,0.97522,0.002476,0.002476,0.002476
154,6185.51,0.68574,0.35716,0.96277,0.99656,0.99289,0.99259,0.84429,0.68372,0.27266,0.97616,0.0024265,0.0024265,0.0024265
155,6234.35,0.67965,0.35872,0.95988,0.99655,0.98944,0.99252,0.84551,0.68293,0.27366,0.97536,0.002377,0.002377,0.002377
156,6282.35,0.67912,0.35636,0.96163,0.99655,0.98972,0.99252,0.84496,0.68478,0.27226,0.97538,0.0023275,0.0023275,0.0023275
157,6329.06,0.66929,0.35386,0.95639,0.99656,0.99279,0.9927,0.8473,0.68092,0.26996,0.97546,0.002278,0.002278,0.002278
158,6377.15,0.67241,0.35259,0.96143,0.99596,0.99315,0.99297,0.84762,0.6825,0.2671,0.97814,0.0022285,0.0022285,0.0022285
159,6425.7,0.67005,0.35572,0.96176,0.99627,0.99658,0.99281,0.84829,0.68379,0.26517,0.97712,0.002179,0.002179,0.002179
160,6474.18,0.67321,0.35226,0.95919,0.99657,0.99636,0.99281,0.84525,0.68855,0.26733,0.97663,0.0021295,0.0021295,0.0021295
