epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,3801.14,0.37755,0.25454,0.94404,0.99957,0.99609,0.995,0.98008,0.24873,0.16655,0.83072,0.00090704,0.00090704,0.00090704
140,3829.16,0.37604,0.25774,0.95145,0.99952,0.99609,0.995,0.97942,0.2558,0.17103,0.82644,0.00089912,0.00089912,0.00089912
141,3858.88,0.37382,0.25476,0.94511,0.99985,0.99609,0.995,0.9814,0.25417,0.1762,0.8275,0.0008912,0.0008912,0.0008912
142,3888.98,0.36299,0.24736,0.94631,0.99972,0.99609,0.995,0.97857,0.24652,0.16952,0.81774,0.00088328,0.00088328,0.00088328
143,3919.22,0.36666,0.24774,0.94593,0.99978,0.99609,0.995,0.97876,0.25407,0.17018,0.82541,0.00087536,0.00087536,0.00087536
144,3949.25,0.36292,0.24896,0.93837,0.99978,0.99609,0.995,0.98093,0.23765,0.16786,0.81218,0.00086744,0.00086744,0.00086744
145,3979.22,0.3637,0.2483,0.94573,0.99982,0.99609,0.995,0.98023,0.23727,0.16311,0.81188,0.00085952,0.00085952,0.00085952
146,4008.34,0.3649,0.24674,0.94511,0.99981,0.99609,0.995,0.98143,0.24038,0.16199,0.81937,0.0008516,0.0008516,0.0008516
147,4037.16,0.35024,0.23865,0.93702,0.99978,0.99609,0.995,0.98322,0.23654,0.16239,0.81417,0.00084368,0.00084368,0.00084368
148,4066.99,0.35953,0.24828,0.94003,0.99983,0.99609,0.995,0.98155,0.24183,0.16605,0.82342,0.00083576,0.00083576,0.00083576
149,4095.63,0.368,0.24844,0.94361,0.99579,0.99609,0.995,0.98052,0.23945,0.16715,0.8208,0.00082784,0.00082784,0.00082784
150,4123.99,0.35305,0.24061,0.93954,0.99978,0.99609,0.995,0.98281,0.23957,0.16082,0.81998,0.00081992,0.00081992,0.00081992
151,4153.77,0.3584,0.24082,0.94425,0.99985,0.99609,0.995,0.98055,0.24182,0.16146,0.82147,0.000812,0.000812,0.000812
152,4181.62,0.34848,0.23921,0.93374,0.99974,0.99609,0.995,0.9821,0.23603,0.15836,0.82061,0.00080408,0.00080408,0.00080408
153,4211.09,0.35644,0.24409,0.94027,0.99987,0.99609,0.995,0.98217,0.23042,0.15545,0.81876,0.00079616,0.00079616,0.00079616
154,4240.03,0.34995,0.24009,0.93954,0.99988,0.99609,0.995,0.98172,0.22698,0.15628,0.81412,0.00078824,0.00078824,0.00078824
155,4269.5,0.34596,0.24062,0.93524,0.99988,0.99609,0.995,0.9821,0.23278,0.16034,0.81674,0.00078032,0.00078032,0.00078032
156,4299.47,0.3445,0.23551,0.93518,0.99989,0.99609,0.995,0.98291,0.23144,0.15705,0.81653,0.0007724,0.0007724,0.0007724
157,4329.32,0.33662,0.23018,0.93329,0.99988,0.99609,0.995,0.98218,0.23432,0.16282,0.82044,0.00076448,0.00076448,0.00076448
158,4359.05,0.33844,0.2357,0.92682,0.99973,0.99609,0.995,0.98281,0.2297,0.15988,0.8153,0.00075656,0.00075656,0.00075656
159,4389.01,0.34637,0.24099,0.93619,0.9995,0.99609,0.995,0.984,0.2271,0.16042,0.81156,0.00074864,0.00074864,0.00074864
160,4418.88,0.33949,0.23716,0.9339,0.9958,0.99609,0.995,0.98415,0.22788,0.15639,0.81869,0.00074072,0.00074072,0.00074072
161,4448.77,0.33955,0.23339,0.93305,0.99987,0.99609,0.995,0.98351,0.22745,0.15512,0.81757,0.0007328,0.0007328,0.0007328
